Organization Name,Process Name,Focus area of request,Amount Awarded,Amount requested,Proposal  Summary,,,,,
"Special Needs Arts Programs, Inc",2016 Community Endowment of Lexington Grant Program,Health & Human Services,0,10000,"SNAP will pilot an Expressive Arts curriculum within our Special Artists program.  Our participants have autism, down syndrome, and other cognitive and developmental delays.  By combining two and three dimensional art techniques, participants will express their emotions on a given social theme while focusing on the process of creating.  Social themes can include special events, life milestones, and interactions with peers.
Individuals with developmental disabilities often struggle with expressing their feelings in socially appropriate ways.  Expressive Arts will create a more introspective experience for our participants, using art as the medium to better identify and communicate their emotions.  The projects will involve channeling their innermost thoughts and feelings and representing those in a tangible way.  
Prior to each project, participants will be guided through a discussion about the emotions they want to represent.  For example, matching emotions with shapes, colors, and textures.  Participants will then be guided through the process of creating their projects by choosing between several different art materials.  Participants will be able to use different art materials to represent their emotions within the social theme of that class.  The teacher will encourage the participants to talk about and share their projects with peers and to reflect on their feelings while in the creative process.
Art and the creative process can help these individuals to engage in all of the senses and various techniques and aspects that art has to offer, which is valuable for reducing stress and achieving personal insight.  Multi-sensory learning of art will stimulate their curiosity and our introspective approach will help them to better identify and communicate their emotions.
SNAP will use the requested funds to pay our teacher, purchases supplies and offset a portion of the overhead to facilitate this program.",,,,,
Lexington Fire Department,2016 Community Endowment of Lexington Grant Program,Environment,0,2500,"This is an opportunity for Lexington to reinvigorate the Local Emergency Planning Committee (LEPC). Since 1986, it has been an unfunded Federal mandate for cities and towns nationwide to become more familiar with businesses that store, manage or transport hazardous materials. With this proposal, Lexington will be able to hire a Hazardous Materials Consultant who will be able to review existing protocols and update these protocols for any current trends in the industry. Recent concerns from a town organization called Sustainable Lexington have alerted us to potential concerns of heightened storm activity due to climate change. Hazardous materials that are exposed to surface waters may cause pollution concerns. In addition, a recent report by Todd Dresser of Louriero Associates performed a study of LEPC's and found only a small percentage were fully active. One of the reasons of low level of utilization of the LEPC authority is a lack of funding assistance. Although Lexington's LEPC is ahead of many other communities is ahead of other communities in terms of support for LEPC, there is much more that can be done. Any additional investment is one that pays for itself in enhanced safety and avoids costly environmental clean up, work stoppage, and community disruption. As the frequency of storm events increases, the value of avoiding these problems increases. 
Since Lexington has not had a significant threat or release of Hazardous Material it is often difficult to request additional funding during our annual budget process. That is why this grant proposal to enhance our capabilities is such an important potential program improvement.   ",,,,,
Communities for Restorative Justice,2016 Community Endowment of Lexington Grant Program,Community Building,0,10000,"Communities for Restorative Justice (C4RJ) respectfully requests $10,000 in general funding for our core mission: to provide a healing, inclusive, and cost-effective complement to the criminal justice system whereby victims of crime are given the opportunity to address the person(s) who have harmed them, offenders are held accountable for their actions, and the community provides support. 

C4RJ is a community–police partnership with 15 partner police departments that can refer juvenile or adult cases for resolution through a restorative justice process rather than through the criminal justice system. C4RJ works with the parties affected by crime: victims, offenders, and community members. In a safe setting, victim(s) of a crime address those who have harmed them and explore how the harm may be repaired. Offenders come to understand the impact of their actions, to be accountable for them, and to make amends. Participating community members experience the healing effect of relationships restored after crime. 

C4RJ’s success—measured by rates of offender recidivism and satisfaction among all parties—has generated demand for its services. C4RJ also now works with the Middlesex District Attorney’s Juvenile Diversion Program and is a resource for cases, countywide, involving first-time offenders under 18 who have committed a misdemeanor or low-level felony.

In Lexington, we will build on last year's project. We will continue training efforts with the Lexington Police Department.  We will work with LexMedia to show C4RJ's film, ""Finding Courage,"" introduced by Chief Corr.  We will hold an outreach event to raise awareness. This may be like the event on March 22, 2016 with Representatives Kaufman and Garballey, or a table at the Lexington farmer's market, or a presentation to the Lexington Rotary.  We will continue to recruit volunteers, board members, community liaisons, and donors from Lexington.",,,,,
"Town of Lexington, Office of Public Health",2016 Community Endowment of Lexington Grant Program,Health & Human Services,7500,7500,"Whether it’s hiking on Lexington Conservation trails or just working in your yard, you are at risk for contracting Lyme disease. The Lexington Board of Health and Public Health Office want to educate its citizens of the signs and symptoms of Lyme disease and what you can do to prevent it.  Annual confirmed cases of Lyme disease in Lexington average in the low teens and have remained constant over the last few years. Unconfirmed cases are much higher.
 
Lyme disease is a potentially debilitating bacterial infection spread through the bite of an infected deer tick (Ixodes scapularis).  Most humans are infected through the bite of immature deer ticks called nymphs.  Deer ticks wait in the tall grass or bushes for a mammal to pass by so that they may hitch a ride and at the same time, have a nourishing blood meal.  While extracting blood from the human host, a bacterium (Borrelia burgdorferi) from the tick’s internal systems is transferred. Both nymph (baby) and adult deer ticks can spread the disease, and often go unnoticed because of their small size (no larger than a sesame seed).  First recognized in the mid 1970’s it was named after an unusual outbreak of arthritis near the Town of Lyme, Connecticut. Lyme disease has become well established in this region mostly due to the number of deer populations.

Two thirds of the funds would be used to conduct a one time Research study of public lands in Lexington to determine the Risk Factor for an individual to contract Lyme Disease.  Ticks will be collected in early summer through late Fall.  These ticks will be tested to find out if they carry Lyme Disease.   The Research study will identify habitats in Lexington and they will be mapped, using GPS technology.  As a result of the data collection, an action plan will be developed.  The remaining 1/3 of the funds would be used for public education efforts and to inform the public about the results of the Research  and to promote Tick bite prevention.",,,,,
Domestic Violence Services Network,2016 Community Endowment of Lexington Grant Program,Health & Human Services,0,10000,"With DVSN working closely with the Lexington Police Department, the Concord District Court, Emerson Hospital, and 85 volunteer community advocates, this grant would help SUPPORT THEIR COORDINATED COMMUNITY RESPONSE TO DOMESTIC VIOLENCE.  

To benefit Lexington residents living with domestic abuse, we would: 
1. Recruit, train, and supervise 15-18 new volunteer Advocates for its police, court and Emerson Hospital programs.
2. Closely supervise and continue to train/enhance the skills and knowledge of veteran volunteer Advocates .
3. Include two to four Lexington officers and/or dispatchers in our each of two 40-hour advocate training programs.
4. Provide 24 workshops for veteran volunteer advocates to hone their skills and brush up on complex aspects of the job. 
5. Update the expanded database of resources available to our clients and our advocates on our website with a specific focus on resources more appropriate and more convenient to:
• Clients in Lexington and surrounding towns
• Clients from the South Asian, and East Asian cultures
• Clients with children/adolescents who witness domestic violence
?      Clients who are disabled or elderly
6.  Work closely with the Lexington police department by following up on all domestic incidents in order to provide an effective coordinated community response to stop domestic violence.
7.  Design a program for the annual 2017 Clergy Symposium that will help local clergy develop tools and protocols for combating domestic violence within their congregations.

DVSN services any victim of domestic violence who lives, works, or is assaulted in Lexington. Based on recent history, DVSN expects to receive over 100 referrals from Lexington police, Concord court, and Emerson including requests for service from Lexington residents who are victims of domestic violence calling our Help Line.  DVSN is the only provider of outreach and support services to Lexington residents who are victims of domestic violence.",,,,,
Lex Eat Together,2016 Community Endowment of Lexington Grant Program,Health & Human Services,3600,10000,"Together (LET) seeks $10,000 from the Community Endowment of Lexington to support our weekly, volunteer-led meal in the heart of downtown Lexington for anyone in need of a nutritious meal or companionship. Since our first dinner in October at the Church of Our Redeemer, we have averaged 35 meals per week.  Our guests include isolated seniors, struggling single parents and their children, people experiencing homelessness, veterans with mental health issues, and those who struggle with physical health issues.   

Since our first meal in October 2015, Lex Eat Together has served approximately 700 meals to guests, averaging about 35 per weekly meal.  Forecasting at this rate would yield roughly 1750 meals served to individuals in need in Lexington.

While our mission is focused on the guests who attend our dinners, our program affects the volunteers who cook and serve the meals, interact with guests, as well as set up and clean up the hall.  We have over 150 people who serve as our volunteer base to staff our meals, from high school youth to seniors, and these volunteers are impacted and changed through the opportunity to serve and the community that has emerged from our meals.",,,,,
Lexington Community Farm Coalition,2016 Community Endowment of Lexington Grant Program,Environment,10000,10000,"LexFarm is at a growth stage that is challenging for all non-profit organizations: we are poised to emerge from the initial start-up phase in which board members perform most required tasks other than operating the farm. Dependence on board members is necessary at startup but not sustainable moving forward.

We will build leadership capacity through executive committee coaching (""train the trainers""), board retraining, and board development. We will define committee roles, agree on the expertise needed from paid staff or volunteers, set priorities, and outline decision-making procedures.

We will design an information “dashboard” to monitor and summarize progress towards goals in finances, farm production, and community programs. Such reports can be used to trigger decisions, e.g., ""We will hire an administrative assistant (or Executive Director) when income is reliably at x dollars,"" or to engage external partners and donors.

Finally, we will develop a detailed business plan to guide decision-making and resource allocation.

The budget includes funds to hire Lori Rutter of Adviza Consulting (www.adviza.com). Ms. Rutter has helped us progress this year through pro bono advice. Over 20 years she has consulted with 100 non-profit organizations, including community farms; she has a strong background in business planning and board governance.

PROPOSED WORK

A. DEVELOP AN ORGANIZATIONAL STRUCTURE ($5,000, 3 months) 
A1. Provide board training and review board skills matrix
A2. Delineate board and staff roles and responsibilities
A3. Structure board and committee relationships
A4. Develop board goals and accountabilities

B. ANALYTICS DASHBOARD ($2,000, 3 months)
B1. Define metrics and business analytics to track funding sources and allocation
B2. Define metrics to track progress towards milestones (farm, staff hiring, education, engagement, fundraising)
B3. Create the dashboard and reporting system

C. BUSINESS PLAN ($3,000, 6 months)",,,,,
"Lexington's Five and Under Network PTA, Inc.",2016 Community Endowment of Lexington Grant Program,Health & Human Services,0,3400,"LexFUN! plans to use the requested funds to bring one of the most powerful films about what’s possible in American education to our town of Lexington – “Beyond Measure: Rescuing an Overscheduled, Overtested, Underestimated Generation.”  
From kindergarteners to high-schoolers, thousands of Lexington students are being pressured to achieve high grades, to achieve high test scores, to pursue more AP courses than classmates and to seek out admission to one of the nation’s elite colleges.  Our children are being pressured to overachieve, to fiercely compete against classmates, to go without sleep and to sacrifice the quality of their young lives to pursue these.  The 2010 documentary, “Race to Nowhere”, demonstrated how the pursuit of such a narrow form of “success” (high grades, overachieving, etc.) is irreparably harming the physical and mental health of our children.  Data from our own Lexington Youth Risk Behavior Surveys confirmed this not once (in 2013), but twice (again in 2015). 
This data is chilling, especially the data about suicide attempts and suicidal thoughts. LexFUN! does not want our toddlers and preschoolers to enter our school system and turn into these statistics.  LexFUN! wants to challenge our community to think differently about what it means to achieve “educational success”.  The film, Beyond Measure, will help us do precisely that.  The film asks new, thought-provoking questions about what it means to achieve “educational success.”
The requested funds will cover the cost for the film license, a local venue to show the film (perhaps at the high school, perhaps elsewhere; potentially two showings to meet expected demand), advertising and promotion (sandwich board signs, flyers, an invitation to every teacher, administrator, and School Board Member in Lexington, etc.), and light refreshments.",,,,,
Lovelane Special Needs Horseback Riding Program,2017 Community Endowment of Lexington,Health & Human Services,0,5000,"Therapeutic riding addresses the goals of children with a variety of physical, social, cognitive and emotional disorders. Our goal is to create a personalized treatment plan that encourages the results achieved in the ring to transfer to other areas of a child’s life such as at home and in school.  ",,,,,
Lexington Recreation and Community Programs Department,2017 Community Endowment of Lexington,Arts & Culture,0,10000,The Granite Forest will be a public art and landscape feature in the highly-trafficked meadow between Lincoln Park’s recreation area and woodland/wetlands. The volunteer-led project will employ the principal of adaptive reuse to create a gathering place for Lexington’s diverse community.,,,,,
"Food Link, Inc.",2017 Community Endowment of Lexington,Health & Human Services,0,2000,"Food Link provides rescued food to be served at Lex Eat Together, a free meal open to all. In the past year, Food Link has provided food valued at $9,000, saving the program money and enabling the program to feed an average of 50 guests per week good food at a cost of less than $2 per person. ",,,,,
"Special Needs Arts Programs, Inc",2017 Community Endowment of Lexington,Arts & Culture,0,10000,"SNAP will develop a chorus for teens and young adults, ages 12- 22, with special needs. The SNAP Glee Club will use music and singing to provide members an opportunity for self-expression, build a supportive peer group through weekly rehearsals, and celebrate their talents with community concerts.",,,,,
Lexington Arts and Crafts Society,2017 Community Endowment of Lexington,Arts & Culture,0,9000,"The Lexington Arts and Crafts Society seeks to fund a study and compliance report by an architectural firm to explain how it can improve building access for all people with mobility limitations who wish to participate in our classes, attend gallery exhibits and attend the guild member craft fairs.",,,,,
English at Large,2017 Community Endowment of Lexington,Health & Human Services,0,10000,"Funding is requested to sustain and expand programs that help open doors to opportunity for immigrants and refugees in Lexington. This grant will fund ongoing efforts to engage and support local volunteers, move 17 learners off our waitlist, and increase our capacity to serve community needs.",,,,,
Shadaj Inc,2017 Community Endowment of Lexington,Arts & Culture,0,10000,"Shadaj seeks your support for two distinct activities.
1) To sustain its core activity i.e. Annual Baithak Series (Indian Classical Chamber music concerts along with the music appreciation session/lecture-demonstrations)
2) To fund its community outreach event.",,,,,
Supportive Living Inc.,2017 Community Endowment of Lexington,Health & Human Services,5000,5000,"SLI brings together disabled and nondisabled Lexington residents in wellness programs offering fitness, educational, and creative activities for those with brain injuries or neurological disorders. Community volunteers share their expertise and passions by leading and facilitating summer workshops.",,,,,
Communities for Restorative Justice,2017 Community Endowment of Lexington,Community Building,0,10000,We will strengthen our police partnership and educate the community by: 1) conducting “roll call” police trainings so that every police officer is familiar with the C4RJ process and appropriate cases; and 2) continuing to raise awareness by hosting or participating in at least two local events.,,,,,
Care Dimensions,2017 Community Endowment of Lexington,Health & Human Services,0,5000,The purpose of this request is to provide Lexington residents facing a life-limiting illness with complementary therapies so they can maintain the highest quality of life for the longest possible time.  We will also support Lexington families facing grief thru pre-bereavement and grief support.  ,,,,,
Lexington Recreation and Community Programs Department,2017 Community Endowment of Lexington,Health & Human Services,1000,4860,This program would provide highly discounted CPR/First Aid/AED Certification courses for Lexington Residents of all ages. It will create an opportunity for all residents to take part in this course so then in turn it will provide a safer Community  environment.,,,,,
Town of Lexington - Conservation,2017 Community Endowment of Lexington,Environment,0,9000,The Lexington Conservation Commission has a dream of transforming the Wright Farm Barn into an Environmental Education Center for the Town.  The funds requested herein will be used to engage a consultant to prepare an Education Planning Needs Assessment with education model recommendations.,,,,,
BINA Farm Center,2017 Community Endowment of Lexington,Health & Human Services,0,10000,"BFC provides a therapeutic and recreational environment through Equine-Assisted Activities and Therapies, Vocational Training and Creative and Complementary Therapies for children and adults with physical, developmental and emotional challenges. Focus on the whole family is integral to the mission.",,,,,
Lexington Youth and Family Services,2017 Community Endowment of Lexington,Health & Human Services,7500,7500,"LYFS and KOLex as partners, together with a Multicultural Sponsoring Board (MSB), will implement six community programs designed to deepen understanding of cultural issues and provide support to parents and teens who are experiencing problems caused by the generational and cultural divide.",,,,,
HORIZONS at Lexington Montessori School ,2017 Community Endowment of Lexington,Health & Human Services,0,10000,The HORIZONS Program at Lexington Montessori School requests funding in order to continue to provide quality academic and recreational activities to low income children for an annual six week summer program.  ,,,,,
Friends of Minute Man National Park,2017 Community Endowment of Lexington,Environment,7000,7000,The Parker's Revenge historic battle site sits on a parcel of land in Lexington bordering Lincoln. The Friends of Minute Man National Park is seeking support to construct a 1500 foot educational trail loop that will protect the archaeological and ecological sensitivity of the area. ,,,,,
F.U.S.E. Preschool,2017 Community Endowment of Lexington,Health & Human Services,0,10000,"FUSE will introduce the Parent empowerment and coaching program.  FUSE clinicians will provide direct parent education, coaching, counseling, and intervention both in office and in the home to enhance and improve the parent child relationship for families with a child with special needs. ",,,,,
The Nonprofit Net inc.,2017 Community Endowment of Lexington,Community Building,0,5050,"Planning grant to assess Lexington non-profit organizations’ needs for achieving more effective and efficient collaboration with each other for mutual and town benefit. This will enable improved service delivery at lower cost, leading to improved beneficiary satisfaction and town quality of life.",,,,,
Neighbor Brigade,2017 Community Endowment of Lexington,Community Building,2500,5115,"We are seeking funding to increase volunteer engagement and diversify our volunteers in the areas of age, gender and ethnicity.  With these targeted goals we will better meet the needs of Lexington's growing and diverse population and serve all residents that are facing a temporary crisis.",,,,,
The Children's Room,2017 Community Endowment of Lexington,Health & Human Services,3000,6000,"This proposal requests $6,000 to continue operating a school-based peer support group for grieving teens on site at Lexington High School. ",,,,,
munroe center for the arts,2017 Community Endowment of Lexington,Arts & Culture,3150,9000,"Through the arts we hope to bring awareness of the refugee crisis, educate Lexingtonians about the refugee experience, and in collaboration with the LexRAP we hope to also promote local engagement by our residents.  Many refugees are looking to come not only to America, but locally to our area.  ",,,,,
"International Ballet Academy of Norwell, INC",2017 Community Endowment of Lexington,Arts & Culture,0,10000,New England Movement Arts seeks funding to host a special presentation of our annual ballet performance of The Nutcracker for all Lexington youth to attend at no cost.  Our production of The Nutcracker will expose Lexington youth to a unique art form that engages all the senses.,,,,,
Lexington Historical Society,2018 Town Funds,Community Building,4000,9993,"Lexington Historical Society, along with its partners, plans to host a season-long celebration to commemorate the centennial anniversary of the ending of WWI. The celebration will include lectures, exhibits, programs, and a panel discussion. ",,,,,
The Children's Room,2018 Town Funds,Health & Human Services,0,6000,"This proposal requests $6,000 to continue operating a school-based peer support group for grieving teens on site at Lexington High School.  We greatly appreciate the grant of $3,000 we received last year toward this program from CEL.",,,,,
"Special Needs Arts Programs, Inc",2018 Town Funds,Health & Human Services,3745,3745,SNAP is requesting funding for a pilot ceramics program for people with intellectual and developmental disabilities.  Working with and manipulating clay into a work of personal expression is a creative and tactile process that is very beneficial and therapeutic for people with special needs.  ,,,,,
Lexington Chamber Music Center,2018 Town Funds,Community Building,5000,5000,"In response to the rapid pace we move today and inspired by the slow food movement, LCMC will use The Front Porch Project to explore intentionally slowing down to create purposeful, organic community concerts, hosted with fellow Lexington non-profit partners, on neighborhood front porches. ",,,,,
Town of Lexington,2018 Town Funds,Arts & Culture,0,7000,"The Diorama of the Battle on Lexington Green is a 3-D recreation of the first encounter between the Colonial militia and the Crown Regulars, completed in 1962. It needs cleaning and refurbishing; lighting updates; interior access improvement; and the case presentation needs enhancement physically.",,,,,
Town of Lexington,2018 Town Funds,Community Building,3050,3050,"The Town would like purchase tablets that are outfitted with a translation application, to be kept at the counters of those departments which experience the highest traffic, so that individuals whose first language is not English will have a way of communicating their questions and needs to staff.",,,,,
"William Diamond Junior Fife & Drum Corps, Inc.",2018 Town Funds,Arts & Culture,4875,4875,"WDJ membership grew by more than 50% in 2017. Growth has strained the group’s ability to supply members with instruments and uniforms. A grant from CEL will fund five new authentic-quality fifes and three hand-sewn uniforms, benefiting young participants from Lexington and surrounding towns.",,,,,
Supportive Living Inc.,2018 Town Funds,Community Building,0,5000,"SLI will recruit, educate, and involve non-disabled Lexingtonians in wellness, recreational and social activities to provide ""normalcy"" for brain injury survivors with few opportunities to interact with fellow townspeople, while giving the volunteers a chance to enjoy spending time with new people.",,,,,
Lexington Recreation and Community Programs Department,2018 Town Funds,Health & Human Services,0,3750,"These courses will provide Lexington Residents with the confidence in knowing that they are educated in the field of CPR/AED in case they ever need to use it,  In turn these courses will make Lexington a safer and more confident community. It will be accessible to everyone due to it's affordability.",,,,,
Friends of Lexington Bikeways,2018 Town Funds,Arts & Culture,3900,6450,"On September 29, the three bikeway towns will hold a joint celebration that will feature events in the Lexington center as well as along the Bikeway.  Visual arts and music will be featured along the 10-mile length along with historical displays in store windows and at the Library.  ",,,,,
Shadaj Inc,2019 Town Funds,Community Building,3000,5000,Cultural exchange through music is a great way to build our community. Shadaj annual community outreach event is a great vehicle to facilitate cultural and musical exchange by inviting people from diverse cultural backgrounds to participate in a series of lecture-demonstrations and a concert.,,,,,
Nashoba Learning Group,2019 Town Funds,Health & Human Services,5000,5000,"NLG’s Vocational Program strives to place students with autism in meaningful work opportunities. 5% of those NLG serves are from the Lexington community, therefore, NLG would like to expand our reach of volunteer services to include this community.  ",,,,,
Lexrap Corp.,2019 Town Funds,Community Building,1000,1000,Hand in Hand Cafe provides local refugee women the opportunity to cook dinners for paying guests. One of the goals of the dinners is to build community and understanding. Equally important is to provide a chance for the women to learn job skills related to the food industry.,,,,,
"Wildflower, Inc.",2019 Town Funds,Health & Human Services,0,5000,Wildflower seeks support to offer camp scholarships to two Lexington youth who are coping with the loss of a parent.  Funding would be utilized early in 2020 to fund the camp costs of the students.,,,,,
The Children's Room,2019 Town Funds,Health & Human Services,0,7000,"We respectfully request a contribution of $7,000 toward our free, peer-based grief support groups. This would support two Lexington families in our house in Arlington; a Lexington father and his 8-year-old daughter; and a Lexington mother and her 12-year-old daughter and her 8-year-old son.",,,,,
Lexington Community Farm Coalition,2019 Town Funds,Environment,5000,5000,"Grant assistance would allow LexFarm to hire an education consultant to develop a road map for a comprehensive, sustainable education program. The consultant would work with LexFarm leadership to assess our current program and develop expanded farm and environmental education for 2020.",,,,,
munroe center for the arts,2019 Town Funds,Arts & Culture,2000,2000,"This proposal recognizes the importance of sound leadership and planning as integral to an organization's growth and development.  With a new cadre of board members, we are poised to do great things for Lexington.  We wish to provide board members with instruction and training led by professionals.",,,,,
"Special Needs Arts Programs, Inc",2019 Town Funds,Arts & Culture,3000,4435,"SNAP is requesting funding to support two areas of outreach.  We are requesting funding for marketing materials to use at open house and community events.  SNAP is also requesting funds to purchase a keyboard, amplifier and related supplies to facilitate our concerts in the Lexington community.",,,,,
New Legacy Cultural Center -- Lexington,2019 Town Funds,Arts & Culture,0,2500,"The project will make an attempt to explore the behavioral and language differences caused by various cultural backgrounds, which may lead to miscommunication and even conflicts. It will seek for practical solutions in order to promote better mutual understanding and solidarity within the community.",,,,,
Neighbor Brigade,2019 Town Funds,Community Building,3700,3700,JPLex and Neighbor Brigade seek funding to enable a collaboration that would allow Japanese Lexington residents to participate in and contribute to volunteer activities with fellow Lexington residents in a meaningful and impactful way. Japanese residents in crises will also benefit from services.  ,,,,,
Lexington Chamber Music Center,2019 Town Funds,Community Building,0,2500,"The Lexington Chamber Music Center (LCMC) and Special Needs Arts Programs (SNAP), two Lexington non-profit organizations, will collaborate and enhance civic engagement by joining forces and bringing the community together in a series of co-hosted concerts in Lexington in fall 2019 and spring 2020. ",,,,,
"Food Link, Inc.",2019 Town Funds,Health & Human Services,5300,7000,"Food Link is seeking funds for expanded food deliveries to Lexington. We provide Lex Eat Together with food for the weekly meal, we provide  food and volunteer opportunities for Douglas House clients with acquired brain injuries, and in 2018 we added delivery to Lexington Interfaith Food Pantry.    ",,,,,
Lexington Arts and Crafts Society,2019 Town Funds,Arts & Culture,4500,4500,"LexArt holds an annual Artisan’s Market for 3 days in July.  While it has the potential to reach out and engage the Lexington community, in the past, it has not been effective due to ineffective publicity and low visibility. ",,,,,
Hagar's Sisters,2019 Town Funds,Health & Human Services,0,2504,"To offer a parenting course for community members involved in the lives of children and young adults who have overcome difficult or traumatic life circumstances.  Focus is on practical tools for relating positively, affirming confidence & internal self-worth, and building resilience and hope.",,,,,
Lexington Tourism Committee,2019 Town Funds,Arts & Culture,2500,7000,"The diorama of the Battle of Lexington will be featured in the new Visitors Center and help visitors understand our historic role. It will be restored and made wheelchair accessible. Former Assistant Director of Cary Library and Iranian hostage, Major William F. Buckley was the artist and donor.",,,,,
Lexington Recreation and Community Programs Department,2019 Town Funds,Health & Human Services,0,6000,"The Community Center has seen an increase in the need for qualified instruction and training on how to use the fitness and cardio equipment.  While we offer a variety of low-cost, quality fitness classes, in order to sustain fitness individuals must feel comfortable to exercise independently.  ",,,,,
"William Diamond Junior Fife & Drum Corps, Inc.",2020 Community Endowment of Lexington,Arts & Culture,5000,5000,WDJ is seeking funds to refurbish and rebrand 13 of its original drums purchased in 2001 and 2002.  Refurbishment work will allow the drums to be used for an additional 15-20 years before another project is required. The rebranding will assist WDJ in promoting its ties to the town of Lexington.,,, , , 
Lexington Historical Society,2020 Community Endowment of Lexington,Arts & Culture,5070,5070,"In 2020, Lexington Historical Society, in partnership with over ten other local organizations, will be commemorating the 75th anniversary of the end of WWII. Beginning in May and ending in November, the commemoration will consist of living history programs, lectures, and displays.",,, , , 
"Advocates, Inc.",2020 Community Endowment of Lexington,Health & Human Services,0,4744,Advocates Brain Injury Day Services provides therapeutic programming to help brain injury survivors learn and enhance their quality of life. We are requesting financial support to establish a Seasonal Farm Exploration Program with Mass Audubon's Drumlin Farm Wildlife Sanctuary. ,,, , , 
Lexington Housing Foundation,2020 Community Endowment of Lexington,Health & Human Services,0,5000,"Lexington lacks affordable, workforce & attainable senior housing. M.G.L. Chapter 40R encourages smart growth zoning with affordable housing and is a vehicle for Lexington to develop the needed housing. We are requesting funds for a consultant to identify 40R smart growth zones within Lexington.",,, , , 
The Nature Connection,2020 Community Endowment of Lexington,Health & Human Services,0,5000,"The Nature Connection (NC) is requesting support to bring 6 programs to Supportive Living, Inc. (SLI). With this support, NC will be able to bring therapeutic nature programs to survivors of brain injury in Lexington, who are supported by Advocates Brain Injury Day & Community Services and SLI.",,, , , 
Lexington Housing Assistance Board,2020 Community Endowment of Lexington,Health & Human Services,7000,7000,LEXscape is a sustainable beautification project which will remove invasive species and utilize native plants and trees to promote environmentally sound and attractive green spaces.  It allows LexHAB to create landscaping at its houses which blend in and enhance the surrounding neighborhood.,,, , , 
Nashoba Learning Group,2020 Community Endowment of Lexington,Health & Human Services,0,5000,The CEL created a partnership between NLG’s Vocational Program and the Lexington Community Center. There are now 6 individuals that volunteer at the Center. We request funding to continue these placements by providing training for job coaches and alleviating transportation costs. ,,, , , 
"Special Needs Arts Programs, Inc",2020 Community Endowment of Lexington,Health & Human Services,1000,4000,"The project that we are requesting funding for would be to support a concert and art exhibit series for Special Needs Arts Programs,Inc.  The series would include seven Sing Along Chorus concerts and nine Special Artists art exhibits.  ",,, , , 
munroe center for the arts,2020 Community Endowment of Lexington,Arts & Culture,0,1960,"We will be joining forces with the METCO Family Friends program to provide three art and community based workshops (1 per month). ArtSpan will be hosting an art project (pumpkin/gourd painting, and snowman design) that the members of Family can come and enjoy during one of their monthly gatherings.",,, , , 
Lexington Youth and Family Services,2020 Community Endowment of Lexington,Health & Human Services,7000,7000,"LYFS is looking to provide short-term therapeutic services, free of charge, to youth ages 6-22 and families who cannot otherwise access mental health supports. Our target is youth and families who are unable to access services for financial or cultural reasons. ",,, , , 
Lexington Chamber Music Center,2020 Community Endowment of Lexington,Community Building,0,5000,"The power of a community is its ability to come together; it's resilience and knowledge of how to get things done, together. LCMC and two non-profit partners demonstrate this in two community concerts: one, with the Lexington Historical Society, and the second with Special Needs Arts Program (SNAP).",,, , , 
Chinese American Association of Lexington,2020 Community Endowment of Lexington,Arts & Culture,1700,1700,"The project is to use a collection of photos that reflect Asian citizens’ community activities in family chores, recreation, volunteering, education, town meetings, etc. to promote a culture of respect in Lexington community regardless of ethnicity. ",,, , , 
Lexington Recreation and Community Programs Department,2020 Community Endowment of Lexington,Community Building,0,1500,"Building on the momentum of the Mending Circles hosted at the Cary Library, CEL funds would be used to pay for speakers, instructors and materials needed to launch a series of panel discussions, workshops and Mending Cafés from Fall 2020 - Winter 2021 at the Lexington Community Center. ",,, , , 
"Food Link, Inc.",2020 Community Endowment of Lexington,Health & Human Services,7000,7000,"Funding will expand resources including staff and volunteer time, necessary to help alleviate hunger in Lexington. Funds will be used to expand food collection from the Lexington Public Schools and Lexington Stop & Shop and to expand food distributions to Lex Eat Together and other recipients.  ",,, , , 
